緯度,経度,SUM(kWh/kWp)
-89.5,-179.5,1400.920275
-89.5,-178.5,1400.852358
-89.5,-177.5,1400.798308
-89.5,-176.5,1400.720596
-89.5,-175.5,1400.647256
-89.5,-174.5,1400.609852
-89.5,-173.5,1400.335022
-89.5,-172.5,1400.290541
-89.5,-171.5,1400.233157
-89.5,-170.5,1400.176476
-89.5,-169.5,1400.115363
-89.5,-168.5,1400.231378
-89.5,-167.5,1400.174684
-89.5,-166.5,1400.118981
-89.5,-165.5,1400.06394
-89.5,-164.5,1399.996023
-89.5,-163.5,1399.94032
-89.5,-162.5,1399.874056
-89.5,-161.5,1399.829576
-89.5,-160.5,1399.761659
-89.5,-159.5,1399.700818
-89.5,-158.5,1399.458141
-89.5,-157.5,1399.391885
-89.5,-156.5,1399.348389
-89.5,-155.5,1399.290783
-89.5,-154.5,1399.234102
-89.5,-153.5,1399.374666
-89.5,-152.5,1399.316545
-89.5,-151.5,1399.270155
-89.5,-150.5,1399.214453
-89.5,-149.5,1399.156841
-89.5,-148.5,1399.110451
-89.5,-147.5,1399.064544
-89.5,-146.5,1399.006932
-89.5,-145.5,1398.978179
-89.5,-144.5,1398.923287
-89.5,-143.5,1398.681952
-89.5,-142.5,1398.63557
-89.5,-141.5,1398.636977
-89.5,-140.5,1398.590594
-89.5,-139.5,1398.550625
-89.5,-138.5,1398.706308
-89.5,-137.5,1398.659257
-89.5,-136.5,1398.635162
-89.5,-135.5,1398.602789
-89.5,-134.5,1398.574036
-89.5,-133.5,1398.534872
-89.5,-132.5,1398.506119
-89.5,-131.5,1398.497467
-89.5,-130.5,1398.45973
-89.5,-129.5,1398.432779
-89.5,-128.5,1398.212783
-89.5,-127.5,1398.185833
-89.5,-126.5,1398.172658
-89.5,-125.5,1398.157214
-89.5,-124.5,1398.141493
-89.5,-123.5,1398.312825
-89.5,-122.5,1398.291297
-89.5,-121.5,1398.282645
-89.5,-120.5,1398.25356
-89.5,-119.5,1415.779101
-89.5,-118.5,1415.760619
-89.5,-117.5,1415.739398
-89.5,-116.5,1415.739398
-89.5,-115.5,1415.510472
-89.5,-114.5,1415.498258
-89.5,-113.5,1415.494906
-89.5,-112.5,1415.489251
-89.5,-111.5,1415.489531
-89.5,-110.5,1415.465401
-89.5,-109.5,1415.465401
-89.5,-108.5,1415.654337
-89.5,-107.5,1415.642123
-89.5,-106.5,1415.633116
-89.5,-105.5,1415.624486
-89.5,-104.5,1415.612272
-89.5,-103.5,1415.612272
-89.5,-102.5,1415.612272
-89.5,-101.5,1415.612272
-89.5,-100.5,1415.392959
-89.5,-99.5,1415.392959
-89.5,-98.5,1415.392959
-89.5,-97.5,1415.392959
-89.5,-96.5,1415.427872
-89.5,-95.5,1415.415658
-89.5,-94.5,1415.426953
-89.5,-93.5,1415.60792
-89.5,-92.5,1415.60792
-89.5,-91.5,1415.629066
-89.5,-90.5,1415.617772
-89.5,-89.5,1415.636253
-89.5,-88.5,1415.636253
-89.5,-87.5,1415.627391
-89.5,-86.5,1415.633046
-89.5,-85.5,1415.441418
-89.5,-84.5,1415.442113
-89.5,-83.5,1415.451958
-89.5,-82.5,1415.45531
-89.5,-81.5,1415.47352
-89.5,-80.5,1415.484053
-89.5,-79.5,1415.502911
-89.5,-78.5,1415.704682
-89.5,-77.5,1415.708035
-89.5,-76.5,1415.726893
-89.5,-75.5,1415.730245
-89.5,-74.5,1415.75629
-89.5,-73.5,1415.765297
-89.5,-72.5,1415.791342
-89.5,-71.5,1415.801882
-89.5,-70.5,1415.626413
-89.5,-69.5,1415.638772
-89.5,-68.5,1415.66481
-89.5,-67.5,1415.681004
-89.5,-66.5,1415.721415
-89.5,-65.5,1415.752249
-89.5,-64.5,1415.790502
-89.5,-63.5,1416.004691
-89.5,-62.5,1416.030736
-89.5,-61.5,1416.064242
-89.5,-60.5,1416.083788
-89.5,-59.5,1416.11884
-89.5,-58.5,1416.138386
-89.5,-57.5,1416.193595
-89.5,-56.5,1416.213141
-89.5,-55.5,1416.046623
-89.5,-54.5,1416.092963
-89.5,-53.5,1416.13792
-89.5,-52.5,1416.163121
-89.5,-51.5,1416.244384
-89.5,-50.5,1416.271104
-89.5,-49.5,1416.318363
-89.5,-48.5,1416.542482
-89.5,-47.5,1416.573323
-89.5,-46.5,1416.62059
-89.5,-45.5,1416.655642
-89.5,-44.5,1416.701989
-89.5,-43.5,1416.7436
-89.5,-42.5,1416.778652
-89.5,-41.5,1416.832186
-89.5,-40.5,1416.671286
-89.5,-39.5,1416.724812
-89.5,-38.5,1416.76321
-89.5,-37.5,1416.816109
-89.5,-36.5,1416.870866
-89.5,-35.5,1416.917206
-89.5,-34.5,1416.974998
-89.5,-33.5,1417.210537
-89.5,-32.5,1417.257803
-89.5,-31.5,1417.314689
-89.5,-30.5,1417.363399
-89.5,-29.5,1417.40899
-89.5,-28.5,1417.455337
-89.5,-27.5,1417.513142
-89.5,-26.5,1417.559489
-89.5,-25.5,1417.415529
-89.5,-24.5,1417.461869
-89.5,-23.5,1417.519667
-89.5,-22.5,1417.566007
-89.5,-21.5,1417.632932
-89.5,-20.5,1417.682625
-89.5,-19.5,1417.738508
-89.5,-18.5,1417.976099
-89.5,-17.5,1418.041847
-89.5,-16.5,1418.088194
-89.5,-15.5,1418.140256
-89.5,-14.5,1418.182495
-89.5,-13.5,1418.241056
-89.5,-12.5,1418.283295
-89.5,-11.5,1418.341856
-89.5,-10.5,1418.196878
-89.5,-9.5,1418.255433
-89.5,-8.5,1418.297037
-89.5,-7.5,1418.350564
-89.5,-6.5,1418.424562
-89.5,-5.5,1418.486945
-89.5,-4.5,1418.52199
-89.5,-3.5,1418.77153
-89.5,-2.5,1418.82024
-89.5,-1.5,1418.849637
-89.5,-0.5,1418.915386
-89.5,0.5,1444.998515
-89.5,1.5,1445.046856
-89.5,2.5,1445.090991
-89.5,3.5,1445.145824
-89.5,4.5,1444.998003
-89.5,5.5,1445.028395
-89.5,6.5,1444.877331
-89.5,7.5,1444.915645
-89.5,8.5,1444.970162
-89.5,9.5,1445.020596
-89.5,10.5,1445.265714
-89.5,11.5,1445.487945
-89.5,12.5,1445.522502
-89.5,13.5,1445.569242
-89.5,14.5,1445.599642
-89.5,15.5,1445.638621
-89.5,16.5,1445.684704
-89.5,17.5,1445.711396
-89.5,18.5,1445.751824
-89.5,19.5,1445.582277
-89.5,20.5,1445.621249
-89.5,21.5,1445.460107
-89.5,22.5,1445.498261
-89.5,23.5,1445.538856
-89.5,24.5,1445.566984
-89.5,25.5,1445.794372
-89.5,26.5,1446.024442
-89.5,27.5,1446.051135
-89.5,28.5,1446.101582
-89.5,29.5,1446.118255
-89.5,30.5,1446.164996
-89.5,31.5,1446.168703
-89.5,32.5,1446.21915
-89.5,33.5,1446.245843
-89.5,34.5,1446.084154
-89.5,35.5,1446.091466
-89.5,36.5,1445.932967
-89.5,37.5,1445.943985
-89.5,38.5,1446.004742
-89.5,39.5,1446.014103
-89.5,40.5,1446.222819
-89.5,41.5,1446.444188
-89.5,42.5,1446.466675
-89.5,43.5,1446.488981
-89.5,44.5,1446.505654
-89.5,45.5,1446.54674
-89.5,46.5,1446.552394
-89.5,47.5,1446.587168
-89.5,48.5,1446.602842
-89.5,49.5,1446.416656
-89.5,50.5,1446.435436
-89.5,51.5,1446.260443
-89.5,52.5,1446.284191
-89.5,53.5,1446.313542
-89.5,54.5,1446.335023
-89.5,55.5,1446.56543
-89.5,56.5,1446.765203
-89.5,57.5,1446.776221
-89.5,58.5,1446.805631
-89.5,59.5,1446.822962
-89.5,60.5,1446.826669
-89.5,61.5,1446.86339
-89.5,62.5,1446.867097
-89.5,63.5,1446.877117
-89.5,64.5,1446.700155
-89.5,65.5,1446.703862
-89.5,66.5,1446.513615
-89.5,67.5,1446.530288
-89.5,68.5,1446.565262
-89.5,69.5,1446.570916
-89.5,70.5,1446.783404
-89.5,71.5,1446.996952
-89.5,72.5,1446.996952
-89.5,73.5,1447.006314
-89.5,74.5,1447.025911
-89.5,75.5,1447.029618
-89.5,76.5,1447.035273
-89.5,77.5,1447.035273
-89.5,78.5,1447.049
-89.5,79.5,1446.85824
-89.5,80.5,1446.866168
-89.5,81.5,1446.664425
-89.5,82.5,1446.664425
-89.5,83.5,1446.687866
-89.5,84.5,1446.683501
-89.5,85.5,1446.894996
-89.5,86.5,1447.078463
-89.5,87.5,1447.078463
-89.5,88.5,1447.078463
-89.5,89.5,1447.078463
-89.5,90.5,1447.094457
-89.5,91.5,1447.084438
-89.5,92.5,1447.072969
-89.5,93.5,1447.071312
-89.5,94.5,1446.863429
-89.5,95.5,1446.860504
-89.5,96.5,1446.643086
-89.5,97.5,1446.641429
-89.5,98.5,1446.65046
-89.5,99.5,1446.634785
-89.5,100.5,1446.836254
-89.5,101.5,1447.012896
-89.5,102.5,1447.012896
-89.5,103.5,1446.993514
-89.5,104.5,1446.973917
-89.5,105.5,1446.973917
-89.5,106.5,1446.948721
-89.5,107.5,1446.94141
-89.5,108.5,1446.919104
-89.5,109.5,1446.713203
-89.5,110.5,1446.705892
-89.5,111.5,1446.473313
-89.5,112.5,1446.466002
-89.5,113.5,1446.452731
-89.5,114.5,1446.452731
-89.5,115.5,1446.633146
-89.5,116.5,1446.805751
-89.5,117.5,1446.776133
-89.5,118.5,1446.772426
-89.5,119.5,1446.73992
-89.5,120.5,1403.038037
-89.5,121.5,1403.000299
-89.5,122.5,1402.978772
-89.5,123.5,1402.961901
-89.5,124.5,1402.951596
-89.5,125.5,1402.913858
-89.5,126.5,1402.712151
-89.5,127.5,1402.680828
-89.5,128.5,1402.658734
-89.5,129.5,1402.64187
-89.5,130.5,1402.633218
-89.5,131.5,1402.791544
-89.5,132.5,1402.773907
-89.5,133.5,1402.753807
-89.5,134.5,1402.733932
-89.5,135.5,1402.708409
-89.5,136.5,1402.688309
-89.5,137.5,1402.670671
-89.5,138.5,1402.645148
-89.5,139.5,1402.625274
-89.5,140.5,1402.605173
-89.5,141.5,1402.36575
-89.5,142.5,1402.3388
-89.5,143.5,1402.325372
-89.5,144.5,1402.306925
